all catalogues http://ledas-www.star.le.ac.uk/arnie5/arnie5.php#BEPPOSAX
http://ledas-www.star.le.ac.uk/arnie5/arnie5.php?action=basic&catname=grbcat
+------------+---------------------+------------------------------+-----------+------------+----------+--------------------+--------------+---------+----+
|    NAME    |        TIME         |         OBSERVATORY          |  _RA2000  | _DECL2000  |COORD_FLAG|       REGION       |AFTERGLOW_FLAG|FLUX_FLAG| ID |
| GRB  781011|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  86|
| GRB 781012A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  87|
| GRB 781012C|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|   -0.000000000000000|                           IPN|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  89|
| GRB 781012C|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  89|
| GRB  781013|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  90|
| GRB  781013|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  90|
| GRB  781013|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  90|
| GRB  781019|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  91|
| GRB  781019|   -0.000000000000000|                           PVO|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  91|
| GRB  781022|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  92|
| GRB  781023|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  93|
| GRB  781023|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  93|
| GRB  781023|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  93|
| GRB  781025|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  94|
| GRB  781025|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  94|
| GRB  781025|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  94|
| GRB  781026|   -0.000000000000000|                       CATALOG|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  95|
| GRB  781026|   -0.000000000000000|            SIGNE 2m/VENERA 12|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        N|  95|
| GRB  781026|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  95|
| GRB  781102|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  96|
| GRB 781104A|   -0.000000000000000|                    KONUS-WIND|00 00 00.00|  0 00  0.00|      -1.0|                    |             N|        Y|  97|
